id,restaurant_id,name,description,price,image_url,badges,category,origin,is_active,is_featured,sort_order,created_at,updated_at
356,56454d8d-7cbf-45ed-b324-201a5228d69d,Aguachile Negro,"Camarones frescos encurtidos en jugo de limón, marinados en una salsa a base de chiles asados, pepino, cebolla y aguacate. (300 g)",195.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
359,56454d8d-7cbf-45ed-b324-201a5228d69d,Camarones Cucaracha,"Camarones fritos a punto de chicharrón, salteados con chile de árbol, limón, perejil, mantequilla y soya. (250 g)",195.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
360,56454d8d-7cbf-45ed-b324-201a5228d69d,Choriqueso,"Longaniza especial de San José de Gracia, mezcla de quesos fundidos: gouda y fresco. (300 g)",155.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
362,56454d8d-7cbf-45ed-b324-201a5228d69d,Croquetas de Choriqueso,"Croquetas suaves, rellenas de longaniza de San José de Gracia, mix de quesos y empanizadas al estilo casero. (350 g)",140.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
361,56454d8d-7cbf-45ed-b324-201a5228d69d,Frijoles Cristeros,"Frijoles refritos con longaniza especial de San José de Gracia, acompañados de queso fresco, chicharrón y totopos. (270 g)",140.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
358,56454d8d-7cbf-45ed-b324-201a5228d69d,Salmón Crujiente,"Láminas de salmón, llevadas a punto de chicharrón, y calabazas en tempura, salteadas en una salsa de soya y cítricos, rodajas de chile serrano y cilantro. (250 g)",195.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
357,56454d8d-7cbf-45ed-b324-201a5228d69d,Sashimi de Atún Fresco,"Láminas de atún fresco marinadas en salsa de soya y cítricos, chips de camote, julianas de rábano, láminas de aguacate y aderezo de habanero. (250 g)",220.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
363,56454d8d-7cbf-45ed-b324-201a5228d69d,Torre de Mariscos,"Torre de mariscos con pulpo, atún, camarón cocido, piña asada y aguacate, bañada con una salsa negra hecha en casa. (330 g)",345.00,,"[""Para picar""]",mariscos,,true,false,0,2026-02-10 00:26:02.514584+00,2026-02-10 00:26:02.514584+00
16,050671c2-f1e0-4455-b1cc-ed0774a3e0f4,De Camarón,"Camarón curtido con limón, con salsa a base de chile serrano o chile de árbol acompañado de pepino, cebolla morada, cilantro y aguacate. (200 g.)",235.00,product-1770655068529-d1qxjtj-aguachilecamaron.webp,"[""Aguachiles""]",aguachiles,,true,false,0,2026-02-09 16:37:50.330449+00,2026-02-09 18:36:35.959501+00
18,050671c2-f1e0-4455-b1cc-ed0774a3e0f4,Salsas Negras,"Camarón crudo curtido con limón y sal de grano, bañado en nuestra receta de salsas negras, servido con pepino, cebolla morada y aguacate. (200 g.)",235.00,product-1770657723765-gopi1ff-aguachile-negro-foto-principal.jpg,"[""Aguachiles""]",aguachiles,,true,false,0,2026-02-09 16:46:00+00,2026-02-09 18:37:28.568942+00
17,050671c2-f1e0-4455-b1cc-ed0774a3e0f4,Tatemado,"Pulpo y camarón curtido en salsa tatemada a base de tomate y chile de árbol, acompañada de pepino, cebolla morada y aguacate.",400.00,product-1770657705830-xpz5xfz-aguachile-tatemado.jpg,"[""Aguachiles""]",aguachiles,,true,false,0,2026-02-09 16:37:51.330449+00,2026-02-09 18:37:04.387382+00
